year,city,country,avg_temp
1796,Ahmadabad,India,26.35
1797,Ahmadabad,India,27.45
1798,Ahmadabad,India,25.82
1799,Ahmadabad,India,26.62
1800,Ahmadabad,India,26.56
1801,Ahmadabad,India,25.73
1802,Ahmadabad,India,27.01
1803,Ahmadabad,India,26.77
1804,Ahmadabad,India,27.09
1805,Ahmadabad,India,26.67
1806,Ahmadabad,India,26.57
1807,Ahmadabad,India,26.10
1808,Ahmadabad,India,
1809,Ahmadabad,India,
1810,Ahmadabad,India,
1811,Ahmadabad,India,
1812,Ahmadabad,India,
1813,Ahmadabad,India,25.92
1814,Ahmadabad,India,25.26
1815,Ahmadabad,India,25.45
1816,Ahmadabad,India,25.01
1817,Ahmadabad,India,25.23
1818,Ahmadabad,India,25.78
1819,Ahmadabad,India,25.36
1820,Ahmadabad,India,25.52
1821,Ahmadabad,India,26.15
1822,Ahmadabad,India,26.20
1823,Ahmadabad,India,26.03
1824,Ahmadabad,India,26.68
1825,Ahmadabad,India,26.46
1826,Ahmadabad,India,26.49
1827,Ahmadabad,India,26.65
1828,Ahmadabad,India,26.26
1829,Ahmadabad,India,26.08
1830,Ahmadabad,India,26.37
1831,Ahmadabad,India,25.84
1832,Ahmadabad,India,25.99
1833,Ahmadabad,India,26.18
1834,Ahmadabad,India,26.22
1835,Ahmadabad,India,25.36
1836,Ahmadabad,India,25.85
1837,Ahmadabad,India,25.76
1838,Ahmadabad,India,25.78
1839,Ahmadabad,India,25.89
1840,Ahmadabad,India,26.01
1841,Ahmadabad,India,25.78
1842,Ahmadabad,India,26.13
1843,Ahmadabad,India,25.98
1844,Ahmadabad,India,25.74
1845,Ahmadabad,India,25.99
1846,Ahmadabad,India,26.59
1847,Ahmadabad,India,26.03
1848,Ahmadabad,India,25.96
1849,Ahmadabad,India,25.92
1850,Ahmadabad,India,26.08
1851,Ahmadabad,India,26.07
1852,Ahmadabad,India,26.07
1853,Ahmadabad,India,26.24
1854,Ahmadabad,India,26.37
1855,Ahmadabad,India,26.41
1856,Ahmadabad,India,25.36
1857,Ahmadabad,India,25.64
1858,Ahmadabad,India,
1859,Ahmadabad,India,
1860,Ahmadabad,India,
1861,Ahmadabad,India,
1862,Ahmadabad,India,
1863,Ahmadabad,India,
1864,Ahmadabad,India,
1865,Ahmadabad,India,27.77
1866,Ahmadabad,India,26.40
1867,Ahmadabad,India,26.72
1868,Ahmadabad,India,26.01
1869,Ahmadabad,India,26.52
1870,Ahmadabad,India,26.21
1871,Ahmadabad,India,26.20
1872,Ahmadabad,India,26.22
1873,Ahmadabad,India,26.34
1874,Ahmadabad,India,26.36
1875,Ahmadabad,India,26.51
1876,Ahmadabad,India,26.42
1877,Ahmadabad,India,26.66
1878,Ahmadabad,India,26.74
1879,Ahmadabad,India,26.15
1880,Ahmadabad,India,26.57
1881,Ahmadabad,India,26.33
1882,Ahmadabad,India,26.25
1883,Ahmadabad,India,25.84
1884,Ahmadabad,India,25.76
1885,Ahmadabad,India,25.96
1886,Ahmadabad,India,26.34
1887,Ahmadabad,India,26.06
1888,Ahmadabad,India,26.13
1889,Ahmadabad,India,26.52
1890,Ahmadabad,India,26.41
1891,Ahmadabad,India,26.32
1892,Ahmadabad,India,26.70
1893,Ahmadabad,India,25.45
1894,Ahmadabad,India,26.03
1895,Ahmadabad,India,26.50
1896,Ahmadabad,India,26.99
1897,Ahmadabad,India,26.55
1898,Ahmadabad,India,26.94
1899,Ahmadabad,India,27.07
1900,Ahmadabad,India,26.90
1901,Ahmadabad,India,26.83
1902,Ahmadabad,India,27.30
1903,Ahmadabad,India,26.28
1904,Ahmadabad,India,26.62
1905,Ahmadabad,India,26.24
1906,Ahmadabad,India,26.19
1907,Ahmadabad,India,26.36
1908,Ahmadabad,India,26.07
1909,Ahmadabad,India,26.05
1910,Ahmadabad,India,26.09
1911,Ahmadabad,India,26.60
1912,Ahmadabad,India,26.89
1913,Ahmadabad,India,26.44
1914,Ahmadabad,India,26.56
1915,Ahmadabad,India,27.01
1916,Ahmadabad,India,26.50
1917,Ahmadabad,India,25.60
1918,Ahmadabad,India,26.48
1919,Ahmadabad,India,26.39
1920,Ahmadabad,India,26.65
1921,Ahmadabad,India,27.05
1922,Ahmadabad,India,26.43
1923,Ahmadabad,India,26.44
1924,Ahmadabad,India,26.63
1925,Ahmadabad,India,26.66
1926,Ahmadabad,India,26.55
1927,Ahmadabad,India,26.08
1928,Ahmadabad,India,26.60
1929,Ahmadabad,India,26.76
1930,Ahmadabad,India,26.58
1931,Ahmadabad,India,26.95
1932,Ahmadabad,India,26.90
1933,Ahmadabad,India,26.29
1934,Ahmadabad,India,26.35
1935,Ahmadabad,India,26.10
1936,Ahmadabad,India,26.36
1937,Ahmadabad,India,26.24
1938,Ahmadabad,India,26.46
1939,Ahmadabad,India,26.61
1940,Ahmadabad,India,26.54
1941,Ahmadabad,India,27.23
1942,Ahmadabad,India,26.71
1943,Ahmadabad,India,26.69
1944,Ahmadabad,India,26.47
1945,Ahmadabad,India,25.99
1946,Ahmadabad,India,26.65
1947,Ahmadabad,India,26.80
1948,Ahmadabad,India,27.13
1949,Ahmadabad,India,27.11
1950,Ahmadabad,India,26.06
1951,Ahmadabad,India,27.03
1952,Ahmadabad,India,27.08
1953,Ahmadabad,India,27.14
1954,Ahmadabad,India,26.71
1955,Ahmadabad,India,26.68
1956,Ahmadabad,India,26.28
1957,Ahmadabad,India,26.61
1958,Ahmadabad,India,27.28
1959,Ahmadabad,India,26.72
1960,Ahmadabad,India,26.77
1961,Ahmadabad,India,26.29
1962,Ahmadabad,India,26.64
1963,Ahmadabad,India,27.10
1964,Ahmadabad,India,26.51
1965,Ahmadabad,India,26.82
1966,Ahmadabad,India,26.89
1967,Ahmadabad,India,26.46
1968,Ahmadabad,India,26.54
1969,Ahmadabad,India,27.26
1970,Ahmadabad,India,26.71
1971,Ahmadabad,India,26.57
1972,Ahmadabad,India,26.88
1973,Ahmadabad,India,26.72
1974,Ahmadabad,India,27.02
1975,Ahmadabad,India,26.23
1976,Ahmadabad,India,26.79
1977,Ahmadabad,India,27.17
1978,Ahmadabad,India,26.77
1979,Ahmadabad,India,26.97
1980,Ahmadabad,India,27.22
1981,Ahmadabad,India,26.89
1982,Ahmadabad,India,26.74
1983,Ahmadabad,India,26.21
1984,Ahmadabad,India,26.53
1985,Ahmadabad,India,27.13
1986,Ahmadabad,India,26.96
1987,Ahmadabad,India,28.06
1988,Ahmadabad,India,27.61
1989,Ahmadabad,India,26.76
1990,Ahmadabad,India,26.88
1991,Ahmadabad,India,26.90
1992,Ahmadabad,India,26.82
1993,Ahmadabad,India,27.46
1994,Ahmadabad,India,26.74
1995,Ahmadabad,India,27.20
1996,Ahmadabad,India,27.06
1997,Ahmadabad,India,26.45
1998,Ahmadabad,India,27.48
1999,Ahmadabad,India,27.21
2000,Ahmadabad,India,27.44
2001,Ahmadabad,India,27.20
2002,Ahmadabad,India,27.72
2003,Ahmadabad,India,27.40
2004,Ahmadabad,India,27.63
2005,Ahmadabad,India,26.83
2006,Ahmadabad,India,27.28
2007,Ahmadabad,India,27.51
2008,Ahmadabad,India,27.05
2009,Ahmadabad,India,28.10
2010,Ahmadabad,India,28.02
2011,Ahmadabad,India,27.29
2012,Ahmadabad,India,27.03
2013,Ahmadabad,India,27.61
