year,city,country,avg_temp
1796,Jaipur,India,25.25
1797,Jaipur,India,26.77
1798,Jaipur,India,24.46
1799,Jaipur,India,25.51
1800,Jaipur,India,25.44
1801,Jaipur,India,24.38
1802,Jaipur,India,25.87
1803,Jaipur,India,25.62
1804,Jaipur,India,25.93
1805,Jaipur,India,25.54
1806,Jaipur,India,25.45
1807,Jaipur,India,25.09
1808,Jaipur,India,
1809,Jaipur,India,
1810,Jaipur,India,
1811,Jaipur,India,
1812,Jaipur,India,
1813,Jaipur,India,24.79
1814,Jaipur,India,23.95
1815,Jaipur,India,24.32
1816,Jaipur,India,23.91
1817,Jaipur,India,24.09
1818,Jaipur,India,24.62
1819,Jaipur,India,24.17
1820,Jaipur,India,24.37
1821,Jaipur,India,25.04
1822,Jaipur,India,25.13
1823,Jaipur,India,24.88
1824,Jaipur,India,25.54
1825,Jaipur,India,25.34
1826,Jaipur,India,25.35
1827,Jaipur,India,25.57
1828,Jaipur,India,25.13
1829,Jaipur,India,24.94
1830,Jaipur,India,25.28
1831,Jaipur,India,24.68
1832,Jaipur,India,24.84
1833,Jaipur,India,25.07
1834,Jaipur,India,25.07
1835,Jaipur,India,24.17
1836,Jaipur,India,24.76
1837,Jaipur,India,24.64
1838,Jaipur,India,24.63
1839,Jaipur,India,24.74
1840,Jaipur,India,24.92
1841,Jaipur,India,24.69
1842,Jaipur,India,25.00
1843,Jaipur,India,24.93
1844,Jaipur,India,24.60
1845,Jaipur,India,24.84
1846,Jaipur,India,25.42
1847,Jaipur,India,24.89
1848,Jaipur,India,24.74
1849,Jaipur,India,24.75
1850,Jaipur,India,24.99
1851,Jaipur,India,24.99
1852,Jaipur,India,24.92
1853,Jaipur,India,25.12
1854,Jaipur,India,25.25
1855,Jaipur,India,25.41
1856,Jaipur,India,24.06
1857,Jaipur,India,24.52
1858,Jaipur,India,
1859,Jaipur,India,
1860,Jaipur,India,
1861,Jaipur,India,
1862,Jaipur,India,
1863,Jaipur,India,
1864,Jaipur,India,
1865,Jaipur,India,
1866,Jaipur,India,
1867,Jaipur,India,
1868,Jaipur,India,
1869,Jaipur,India,24.25
1870,Jaipur,India,25.11
1871,Jaipur,India,25.10
1872,Jaipur,India,25.14
1873,Jaipur,India,25.26
1874,Jaipur,India,24.46
1875,Jaipur,India,25.56
1876,Jaipur,India,25.16
1877,Jaipur,India,25.38
1878,Jaipur,India,25.72
1879,Jaipur,India,25.04
1880,Jaipur,India,25.50
1881,Jaipur,India,25.27
1882,Jaipur,India,25.07
1883,Jaipur,India,24.80
1884,Jaipur,India,24.70
1885,Jaipur,India,24.53
1886,Jaipur,India,25.24
1887,Jaipur,India,25.05
1888,Jaipur,India,24.99
1889,Jaipur,India,25.31
1890,Jaipur,India,25.41
1891,Jaipur,India,25.06
1892,Jaipur,India,25.65
1893,Jaipur,India,24.05
1894,Jaipur,India,24.85
1895,Jaipur,India,25.47
1896,Jaipur,India,25.93
1897,Jaipur,India,25.46
1898,Jaipur,India,25.84
1899,Jaipur,India,26.31
1900,Jaipur,India,25.82
1901,Jaipur,India,25.89
1902,Jaipur,India,26.10
1903,Jaipur,India,25.24
1904,Jaipur,India,25.38
1905,Jaipur,India,25.44
1906,Jaipur,India,25.45
